path_length,unique_nodes_visited,path_inefficiency_ratio,distractions,avg_hyperfocus,max_hyperfocus,backtracks,coverage,success,steps_to_success,memory_size,attention_threshold
111,41,2.707317073170732,72,1.2333333333333334,2,1,0.41,False,,20,0.5
160,39,4.102564102564102,114,1.2857142857142858,3,0,0.39,False,,20,0.5
161,24,6.708333333333333,133,1.4444444444444444,2,1,0.24,False,,20,0.5
147,41,3.5853658536585367,77,1.2142857142857142,3,18,0.41,False,,20,0.5
139,37,3.7567567567567566,98,1.1764705882352942,2,0,0.37,False,,20,0.5
199,61,3.262295081967213,132,1.5714285714285714,4,0,0.61,False,,20,0.5
120,34,3.5294117647058822,93,1.0,1,1,0.34,False,,20,0.5
117,18,6.5,101,1.0,1,0,0.18,False,,20,0.5
185,35,5.285714285714286,140,1.0731707317073171,2,0,0.35,False,,20,0.5
173,34,5.088235294117647,115,1.2857142857142858,2,3,0.34,False,,20,0.5
166,29,5.724137931034483,128,1.206896551724138,2,2,0.29,False,,20,0.5
102,16,6.375,100,1.0,1,0,0.16,False,,20,0.5
102,18,5.666666666666667,92,1.0,1,0,0.18,False,,20,0.5
189,54,3.5,132,1.2380952380952381,3,4,0.54,False,,20,0.5
112,25,4.48,81,1.3043478260869565,4,0,0.25,False,,20,0.5
200,37,5.405405405405405,145,1.2272727272727273,2,0,0.37,True,200.0,20,0.5
163,40,4.075,120,1.0256410256410255,2,2,0.4,False,,20,0.5
191,45,4.2444444444444445,147,1.303030303030303,3,0,0.45,False,,20,0.5
187,46,4.065217391304348,123,1.575,4,0,0.46,False,,20,0.5
180,33,5.454545454545454,140,1.2580645161290323,2,0,0.33,False,,20,0.5
195,43,4.534883720930233,136,1.380952380952381,4,0,0.43,False,,20,0.5
200,39,5.128205128205129,163,1.1612903225806452,2,0,0.39,True,200.0,20,0.5
101,21,4.809523809523809,79,1.0,1,0,0.21,False,,20,0.5
112,33,3.393939393939394,91,1.1764705882352942,4,0,0.33,False,,20,0.5
171,52,3.2884615384615383,121,1.1428571428571428,4,1,0.52,False,,20,0.5
157,38,4.131578947368421,120,1.1612903225806452,2,0,0.38,False,,20,0.5
157,30,5.233333333333333,122,1.103448275862069,2,2,0.3,False,,20,0.5
190,42,4.523809523809524,154,1.1290322580645162,5,0,0.42,False,,20,0.5
181,36,5.027777777777778,128,1.2682926829268293,2,0,0.36,False,,20,0.5
183,45,4.066666666666666,141,1.1388888888888888,2,0,0.45,False,,20,0.5
124,33,3.757575757575758,78,1.4074074074074074,3,7,0.33,False,,20,0.5
177,47,3.765957446808511,120,1.793103448275862,3,4,0.47,False,,20,0.5
194,54,3.5925925925925926,120,1.725,3,4,0.54,False,,20,0.5
191,47,4.0638297872340425,126,1.2156862745098038,3,2,0.47,False,,20,0.5
168,43,3.9069767441860463,128,1.0285714285714285,2,3,0.43,False,,20,0.5
156,57,2.736842105263158,116,1.1470588235294117,3,0,0.57,False,,20,0.5
149,47,3.1702127659574466,100,1.3142857142857143,4,2,0.47,False,,20,0.5
131,41,3.1951219512195124,99,1.125,3,4,0.41,False,,20,0.5
153,29,5.275862068965517,121,1.1538461538461537,2,1,0.29,False,,20,0.5
152,40,3.8,130,1.105263157894737,3,0,0.4,False,,20,0.5
166,38,4.368421052631579,137,1.2173913043478262,2,0,0.38,False,,20,0.5
181,47,3.851063829787234,130,1.2195121951219512,3,0,0.47,False,,20,0.5
183,38,4.815789473684211,154,1.037037037037037,2,0,0.38,False,,20,0.5
106,36,2.9444444444444446,75,1.2272727272727273,2,3,0.36,False,,20,0.5
123,16,7.6875,102,1.0,1,0,0.16,False,,20,0.5
180,53,3.3962264150943398,127,1.3243243243243243,4,3,0.53,False,,20,0.5
151,17,8.882352941176471,117,1.0,1,0,0.17,False,,20,0.5
191,52,3.673076923076923,129,1.3043478260869565,4,1,0.52,False,,20,0.5
189,41,4.609756097560975,138,1.225,3,1,0.41,False,,20,0.5
168,31,5.419354838709677,116,1.3714285714285714,3,3,0.31,False,,20,0.5
