path_length,unique_nodes_visited,path_inefficiency_ratio,distractions,avg_hyperfocus,max_hyperfocus,backtracks,coverage,success,steps_to_success,memory_size,attention_threshold
22,22,1.0,21,0.0,0,0,0.22,True,22.0,15,0.6
201,37,5.4324324324324325,193,1.0,1,0,0.37,False,,15,0.6
201,29,6.931034482758621,200,0.0,0,0,0.29,False,,15,0.6
201,26,7.730769230769231,199,1.0,1,0,0.26,False,,15,0.6
201,24,8.375,200,0.0,0,0,0.24,False,,15,0.6
201,18,11.166666666666666,200,0.0,0,0,0.18,False,,15,0.6
201,52,3.8653846153846154,170,1.1111111111111112,2,0,0.52,False,,15,0.6
201,26,7.730769230769231,187,1.1818181818181819,2,0,0.26,False,,15,0.6
201,57,3.526315789473684,177,1.3529411764705883,2,0,0.57,False,,15,0.6
201,17,11.823529411764707,200,0.0,0,0,0.17,False,,15,0.6
201,34,5.911764705882353,192,1.0,1,0,0.34,False,,15,0.6
11,11,1.0,10,0.0,0,0,0.11,True,11.0,15,0.6
201,47,4.276595744680851,180,1.1111111111111112,2,0,0.47,False,,15,0.6
8,8,1.0,7,0.0,0,0,0.08,True,8.0,15,0.6
201,44,4.568181818181818,183,1.8888888888888888,4,0,0.44,False,,15,0.6
201,36,5.583333333333333,187,1.1818181818181819,2,0,0.36,False,,15,0.6
201,40,5.025,190,1.1111111111111112,2,0,0.4,False,,15,0.6
125,44,2.840909090909091,117,1.1666666666666667,2,0,0.44,True,125.0,15,0.6
31,19,1.631578947368421,28,1.0,1,0,0.19,True,31.0,15,0.6
201,23,8.73913043478261,200,0.0,0,0,0.23,False,,15,0.6
23,23,1.0,22,0.0,0,0,0.23,True,23.0,15,0.6
31,31,1.0,29,1.0,1,0,0.31,True,31.0,15,0.6
201,16,12.5625,200,0.0,0,0,0.16,False,,15,0.6
201,48,4.1875,186,1.1666666666666667,2,0,0.48,False,,15,0.6
201,39,5.153846153846154,193,1.4,3,0,0.39,False,,15,0.6
22,22,1.0,18,1.5,2,0,0.22,True,22.0,15,0.6
201,17,11.823529411764707,200,0.0,0,0,0.17,False,,15,0.6
201,31,6.483870967741935,200,0.0,0,0,0.31,False,,15,0.6
201,25,8.04,200,0.0,0,0,0.25,False,,15,0.6
201,27,7.444444444444445,200,0.0,0,0,0.27,False,,15,0.6
201,41,4.902439024390244,181,1.2666666666666666,3,0,0.41,False,,15,0.6
201,19,10.578947368421053,200,0.0,0,0,0.19,False,,15,0.6
201,40,5.025,195,1.25,2,0,0.4,False,,15,0.6
22,22,1.0,21,0.0,0,0,0.22,True,22.0,15,0.6
19,19,1.0,18,0.0,0,0,0.19,True,19.0,15,0.6
201,17,11.823529411764707,200,0.0,0,0,0.17,False,,15,0.6
201,53,3.792452830188679,181,1.1875,3,0,0.53,False,,15,0.6
201,59,3.406779661016949,157,1.3870967741935485,4,0,0.59,False,,15,0.6
201,19,10.578947368421053,200,0.0,0,0,0.19,False,,15,0.6
201,46,4.369565217391305,186,1.1666666666666667,2,0,0.46,False,,15,0.6
71,27,2.6296296296296298,60,1.25,2,0,0.27,True,71.0,15,0.6
201,24,8.375,200,0.0,0,0,0.24,False,,15,0.6
201,39,5.153846153846154,199,1.0,1,0,0.39,False,,15,0.6
201,20,10.05,200,0.0,0,0,0.2,False,,15,0.6
16,16,1.0,14,1.0,1,0,0.16,True,16.0,15,0.6
201,45,4.466666666666667,191,1.2857142857142858,2,0,0.45,False,,15,0.6
201,18,11.166666666666666,200,0.0,0,0,0.18,False,,15,0.6
201,21,9.571428571428571,200,0.0,0,0,0.21,False,,15,0.6
165,54,3.0555555555555554,117,1.5161290322580645,4,0,0.54,True,165.0,15,0.6
201,36,5.583333333333333,198,1.0,1,0,0.36,False,,15,0.6
