path_length,unique_nodes_visited,path_inefficiency_ratio,distractions,avg_hyperfocus,max_hyperfocus,backtracks,coverage,success,steps_to_success,memory_size,attention_threshold
201,62,3.2419354838709675,131,1.864864864864865,7,0,0.62,False,,15,0.8
201,72,2.7916666666666665,100,2.857142857142857,10,0,0.72,False,,15,0.8
201,61,3.2950819672131146,146,1.3846153846153846,4,0,0.61,False,,15,0.8
57,41,1.3902439024390243,32,1.8461538461538463,7,0,0.41,True,57.0,15,0.8
15,15,1.0,12,1.0,1,0,0.15,True,15.0,15,0.8
19,19,1.0,14,2.0,3,0,0.19,True,19.0,15,0.8
11,11,1.0,9,1.0,1,0,0.11,True,11.0,15,0.8
201,64,3.140625,141,1.903225806451613,7,0,0.64,False,,15,0.8
88,60,1.4666666666666666,41,3.066666666666667,9,0,0.6,True,88.0,15,0.8
201,66,3.0454545454545454,127,1.972972972972973,9,0,0.66,False,,15,0.8
201,61,3.2950819672131146,146,1.9285714285714286,6,0,0.61,False,,15,0.8
40,36,1.1111111111111112,21,2.0,4,0,0.36,True,40.0,15,0.8
31,24,1.2916666666666667,25,1.25,2,0,0.24,True,31.0,15,0.8
60,34,1.7647058823529411,45,1.75,4,0,0.34,True,60.0,15,0.8
193,69,2.7971014492753623,114,2.108108108108108,6,0,0.69,True,193.0,15,0.8
134,51,2.627450980392157,99,1.5454545454545454,4,0,0.51,True,134.0,15,0.8
53,21,2.5238095238095237,47,1.6666666666666667,2,0,0.21,True,53.0,15,0.8
41,30,1.3666666666666667,28,1.5,2,0,0.3,True,41.0,15,0.8
63,38,1.6578947368421053,44,1.3846153846153846,2,0,0.38,True,63.0,15,0.8
29,21,1.380952380952381,18,2.5,4,0,0.21,True,29.0,15,0.8
201,72,2.7916666666666665,137,1.6578947368421053,5,0,0.72,False,,15,0.8
70,44,1.5909090909090908,42,2.076923076923077,5,0,0.44,True,70.0,15,0.8
201,57,3.526315789473684,144,1.5135135135135136,4,0,0.57,False,,15,0.8
201,71,2.8309859154929575,118,1.7083333333333333,9,0,0.71,False,,15,0.8
19,19,1.0,14,1.3333333333333333,2,0,0.19,True,19.0,15,0.8
5,5,1.0,4,0.0,0,0,0.05,True,5.0,15,0.8
186,46,4.043478260869565,157,1.4,7,0,0.46,True,186.0,15,0.8
74,45,1.6444444444444444,44,2.4166666666666665,5,0,0.45,True,74.0,15,0.8
67,30,2.2333333333333334,55,1.375,2,0,0.3,True,67.0,15,0.8
40,28,1.4285714285714286,26,1.4444444444444444,3,0,0.28,True,40.0,15,0.8
48,35,1.3714285714285714,27,2.2222222222222223,5,0,0.35,True,48.0,15,0.8
36,29,1.2413793103448276,23,2.4,5,0,0.29,True,36.0,15,0.8
201,61,3.2950819672131146,147,1.65625,4,0,0.61,False,,15,0.8
38,33,1.1515151515151516,26,1.375,3,0,0.33,True,38.0,15,0.8
38,24,1.5833333333333333,31,1.2,2,0,0.24,True,38.0,15,0.8
52,36,1.4444444444444444,30,2.3333333333333335,5,0,0.36,True,52.0,15,0.8
24,24,1.0,18,2.5,4,0,0.24,True,24.0,15,0.8
16,16,1.0,14,1.0,1,0,0.16,True,16.0,15,0.8
201,59,3.406779661016949,157,1.5925925925925926,7,0,0.59,False,,15,0.8
201,34,5.911764705882353,177,1.4375,3,0,0.34,False,,15,0.8
