path_length,unique_nodes_visited,path_inefficiency_ratio,distractions,avg_hyperfocus,max_hyperfocus,backtracks,coverage,success,steps_to_success,memory_size,attention_threshold
200,73,2.73972602739726,20,7.695652173913044,20,2,0.73,True,200.0,5,0.85
200,72,2.7777777777777777,23,11.666666666666666,34,1,0.72,True,200.0,5,0.85
200,63,3.1746031746031744,38,4.102564102564102,10,1,0.63,True,200.0,5,0.85
200,79,2.5316455696202533,7,19.0,47,2,0.79,True,200.0,5,0.85
200,56,3.5714285714285716,63,2.1587301587301586,13,0,0.56,True,200.0,5,0.85
200,76,2.6315789473684212,33,4.685714285714286,11,2,0.76,True,200.0,5,0.85
200,52,3.8461538461538463,69,2.452830188679245,8,0,0.52,True,200.0,5,0.85
200,74,2.7027027027027026,6,24.0,71,1,0.74,True,200.0,5,0.85
200,56,3.5714285714285716,57,3.7027027027027026,8,5,0.56,True,200.0,5,0.85
200,63,3.1746031746031744,47,3.1666666666666665,12,0,0.63,True,200.0,5,0.85
200,80,2.5,22,7.291666666666667,19,2,0.8,True,200.0,5,0.85
200,74,2.7027027027027026,9,17.181818181818183,43,1,0.74,True,200.0,5,0.85
200,62,3.225806451612903,30,4.685714285714286,13,5,0.62,True,200.0,5,0.85
200,73,2.73972602739726,9,10.11111111111111,36,8,0.73,True,200.0,5,0.85
200,76,2.6315789473684212,43,3.7142857142857144,13,0,0.76,True,200.0,5,0.85
200,68,2.9411764705882355,10,14.384615384615385,27,2,0.68,True,200.0,5,0.85
200,62,3.225806451612903,33,4.685714285714286,16,2,0.62,True,200.0,5,0.85
200,62,3.225806451612903,34,4.128205128205129,11,4,0.62,True,200.0,5,0.85
200,69,2.898550724637681,39,5.678571428571429,25,1,0.69,True,200.0,5,0.85
200,72,2.7777777777777777,31,5.419354838709677,14,0,0.72,True,200.0,5,0.85
200,71,2.816901408450704,11,11.5,31,4,0.71,True,200.0,5,0.85
200,74,2.7027027027027026,29,5.03030303030303,22,4,0.74,True,200.0,5,0.85
200,67,2.985074626865672,17,8.523809523809524,22,3,0.67,True,200.0,5,0.85
200,66,3.0303030303030303,27,5.419354838709677,11,4,0.66,True,200.0,5,0.85
187,44,4.25,71,2.3,9,0,0.44,False,,5,0.85
200,68,2.9411764705882355,42,3.422222222222222,8,3,0.68,True,200.0,5,0.85
200,68,2.9411764705882355,36,4.2631578947368425,14,1,0.68,True,200.0,5,0.85
200,55,3.6363636363636362,60,4.566666666666666,14,2,0.55,True,200.0,5,0.85
200,50,4.0,66,2.54,11,6,0.5,True,200.0,5,0.85
200,82,2.4390243902439024,9,15.666666666666666,48,2,0.82,True,200.0,5,0.85
200,68,2.9411764705882355,27,6.37037037037037,16,0,0.68,True,200.0,5,0.85
200,76,2.6315789473684212,12,13.285714285714286,30,1,0.76,True,200.0,5,0.85
200,70,2.857142857142857,27,6.37037037037037,17,0,0.7,True,200.0,5,0.85
200,67,2.985074626865672,38,4.102564102564102,8,1,0.67,True,200.0,5,0.85
200,73,2.73972602739726,12,11.5,36,3,0.73,True,200.0,5,0.85
198,65,3.046153846153846,28,7.0,31,1,0.65,False,,5,0.85
200,66,3.0303030303030303,28,5.666666666666667,28,1,0.66,True,200.0,5,0.85
200,70,2.857142857142857,32,4.823529411764706,28,3,0.7,True,200.0,5,0.85
200,55,3.6363636363636362,62,3.186046511627907,9,0,0.55,True,200.0,5,0.85
200,66,3.0303030303030303,24,7.25,21,1,0.66,True,200.0,5,0.85
200,72,2.7777777777777777,29,5.666666666666667,20,0,0.72,True,200.0,5,0.85
200,62,3.225806451612903,33,4.555555555555555,17,2,0.62,True,200.0,5,0.85
200,74,2.7027027027027026,22,7.291666666666667,18,2,0.74,True,200.0,5,0.85
200,78,2.5641025641025643,5,24.0,58,2,0.78,True,200.0,5,0.85
200,79,2.5316455696202533,0,99.0,125,1,0.79,True,200.0,5,0.85
200,81,2.4691358024691357,0,65.66666666666667,82,2,0.81,True,200.0,5,0.85
200,70,2.857142857142857,23,6.96,25,2,0.7,True,200.0,5,0.85
200,70,2.857142857142857,12,12.333333333333334,26,2,0.7,True,200.0,5,0.85
200,77,2.5974025974025974,21,7.333333333333333,21,2,0.77,True,200.0,5,0.85
200,67,2.985074626865672,20,7.0,18,4,0.67,True,200.0,5,0.85
