path_length,unique_nodes_visited,path_inefficiency_ratio,distractions,avg_hyperfocus,max_hyperfocus,backtracks,coverage,success,steps_to_success,memory_size,attention_threshold
34,30,1.1333333333333333,0,33.0,33,0,0.3,True,34.0,10,0.95
30,24,1.25,2,9.0,15,0,0.24,True,30.0,10,0.95
191,88,2.1704545454545454,29,8.05,57,0,0.88,True,191.0,10,0.95
201,80,2.5125,0,200.0,200,0,0.8,False,,10,0.95
189,84,2.25,17,9.5,40,0,0.84,True,189.0,10,0.95
80,58,1.3793103448275863,0,79.0,79,0,0.58,True,80.0,10,0.95
201,84,2.392857142857143,0,200.0,200,0,0.84,False,,10,0.95
148,83,1.783132530120482,5,23.666666666666668,46,0,0.83,True,148.0,10,0.95
47,42,1.119047619047619,0,46.0,46,0,0.42,True,47.0,10,0.95
45,41,1.0975609756097562,0,44.0,44,0,0.41,True,45.0,10,0.95
59,47,1.2553191489361701,0,58.0,58,0,0.47,True,59.0,10,0.95
201,74,2.7162162162162162,49,4.4411764705882355,24,0,0.74,False,,10,0.95
146,83,1.7590361445783131,0,145.0,145,0,0.83,True,146.0,10,0.95
139,59,2.3559322033898304,0,138.0,138,0,0.59,True,139.0,10,0.95
201,73,2.7534246575342465,42,8.777777777777779,24,0,0.73,False,,10,0.95
81,52,1.5576923076923077,0,80.0,80,0,0.52,True,81.0,10,0.95
7,7,1.0,2,4.0,4,0,0.07,True,7.0,10,0.95
201,84,2.392857142857143,18,9.578947368421053,36,0,0.84,False,,10,0.95
5,5,1.0,1,1.5,2,0,0.05,True,5.0,10,0.95
103,70,1.4714285714285715,2,33.333333333333336,82,0,0.7,True,103.0,10,0.95
139,81,1.7160493827160495,6,18.857142857142858,49,0,0.81,True,139.0,10,0.95
63,50,1.26,4,11.6,24,0,0.5,True,63.0,10,0.95
201,83,2.4216867469879517,32,8.4,16,0,0.83,False,,10,0.95
22,21,1.0476190476190477,2,9.5,11,0,0.21,True,22.0,10,0.95
59,44,1.3409090909090908,2,18.666666666666668,44,0,0.44,True,59.0,10,0.95
201,82,2.451219512195122,0,200.0,200,0,0.82,False,,10,0.95
63,55,1.1454545454545455,3,14.75,25,0,0.55,True,63.0,10,0.95
23,22,1.0454545454545454,1,10.5,11,0,0.22,True,23.0,10,0.95
52,39,1.3333333333333333,1,25.0,48,0,0.39,True,52.0,10,0.95
201,85,2.364705882352941,13,13.357142857142858,27,0,0.85,False,,10,0.95
167,89,1.8764044943820224,19,7.35,16,0,0.89,True,167.0,10,0.95
41,38,1.0789473684210527,2,12.666666666666666,25,0,0.38,True,41.0,10,0.95
201,79,2.5443037974683542,0,200.0,200,0,0.79,False,,10,0.95
153,84,1.8214285714285714,0,152.0,152,0,0.84,True,153.0,10,0.95
62,48,1.2916666666666667,0,61.0,61,0,0.48,True,62.0,10,0.95
140,73,1.917808219178082,4,27.0,89,0,0.73,True,140.0,10,0.95
80,60,1.3333333333333333,6,10.428571428571429,24,0,0.6,True,80.0,10,0.95
16,16,1.0,0,15.0,15,0,0.16,True,16.0,10,0.95
48,37,1.2972972972972974,0,47.0,47,0,0.37,True,48.0,10,0.95
86,47,1.8297872340425532,7,11.142857142857142,18,0,0.47,True,86.0,10,0.95
41,37,1.1081081081081081,0,40.0,40,0,0.37,True,41.0,10,0.95
94,70,1.3428571428571427,1,46.0,82,0,0.7,True,94.0,10,0.95
127,72,1.7638888888888888,8,13.11111111111111,23,0,0.72,True,127.0,10,0.95
19,19,1.0,1,8.5,16,0,0.19,True,19.0,10,0.95
79,58,1.3620689655172413,0,78.0,78,0,0.58,True,79.0,10,0.95
21,20,1.05,4,4.0,6,0,0.2,True,21.0,10,0.95
104,61,1.7049180327868851,17,7.818181818181818,13,0,0.61,True,104.0,10,0.95
102,61,1.6721311475409837,0,101.0,101,0,0.61,True,102.0,10,0.95
201,88,2.284090909090909,0,200.0,200,0,0.88,False,,10,0.95
59,41,1.4390243902439024,4,10.8,16,0,0.41,True,59.0,10,0.95
