path_length,unique_nodes_visited,path_inefficiency_ratio,distractions,avg_hyperfocus,max_hyperfocus,backtracks,coverage,success,steps_to_success,memory_size,attention_threshold
201,48,4.1875,153,1.236842105263158,3,0,0.48,False,,10,0.25
176,44,4.0,147,1.5555555555555556,4,0,0.44,True,176.0,10,0.25
201,51,3.9411764705882355,150,1.2820512820512822,4,0,0.51,False,,10,0.25
201,55,3.6545454545454548,157,1.5925925925925926,4,0,0.55,False,,10,0.25
144,44,3.272727272727273,112,1.3478260869565217,4,0,0.44,True,144.0,10,0.25
201,56,3.5892857142857144,154,1.9166666666666667,5,0,0.56,False,,10,0.25
17,17,1.0,16,0.0,0,0,0.17,True,17.0,10,0.25
201,13,15.461538461538462,200,0.0,0,0,0.13,False,,10,0.25
21,21,1.0,20,0.0,0,0,0.21,True,21.0,10,0.25
201,37,5.4324324324324325,169,1.0333333333333334,2,0,0.37,False,,10,0.25
201,38,5.2894736842105265,181,1.2666666666666666,2,0,0.38,False,,10,0.25
173,51,3.392156862745098,134,1.3571428571428572,3,0,0.51,True,173.0,10,0.25
201,57,3.526315789473684,120,1.7391304347826086,5,0,0.57,False,,10,0.25
201,14,14.357142857142858,199,1.0,1,0,0.14,False,,10,0.25
201,50,4.02,128,1.565217391304348,6,0,0.5,False,,10,0.25
16,16,1.0,14,1.0,1,0,0.16,True,16.0,10,0.25
201,47,4.276595744680851,170,1.4285714285714286,2,0,0.47,False,,10,0.25
201,27,7.444444444444445,195,5.0,5,0,0.27,False,,10,0.25
142,45,3.1555555555555554,100,1.7826086956521738,5,0,0.45,True,142.0,10,0.25
201,51,3.9411764705882355,151,1.1951219512195121,3,0,0.51,False,,10,0.25
201,14,14.357142857142858,200,0.0,0,0,0.14,False,,10,0.25
201,60,3.35,146,1.3170731707317074,3,0,0.6,False,,10,0.25
29,23,1.2608695652173914,23,1.0,1,0,0.23,True,29.0,10,0.25
54,32,1.6875,43,1.1111111111111112,2,0,0.32,True,54.0,10,0.25
201,28,7.178571428571429,157,1.048780487804878,2,0,0.28,False,,10,0.25
57,36,1.5833333333333333,42,1.4,4,0,0.36,True,57.0,10,0.25
201,29,6.931034482758621,189,1.2222222222222223,2,0,0.29,False,,10,0.25
201,29,6.931034482758621,173,1.173913043478261,2,0,0.29,False,,10,0.25
201,52,3.8653846153846154,151,1.75,5,0,0.52,False,,10,0.25
78,21,3.7142857142857144,70,1.1666666666666667,2,0,0.21,True,78.0,10,0.25
201,56,3.5892857142857144,144,1.5555555555555556,5,0,0.56,False,,10,0.25
201,59,3.406779661016949,152,1.7142857142857142,4,0,0.59,False,,10,0.25
201,43,4.674418604651163,176,1.2,2,0,0.43,False,,10,0.25
201,38,5.2894736842105265,184,1.4545454545454546,3,0,0.38,False,,10,0.25
201,21,9.571428571428571,199,1.0,1,0,0.21,False,,10,0.25
10,10,1.0,9,0.0,0,0,0.1,True,10.0,10,0.25
38,31,1.2258064516129032,27,1.6666666666666667,4,0,0.31,True,38.0,10,0.25
201,51,3.9411764705882355,164,1.5,3,0,0.51,False,,10,0.25
14,14,1.0,12,1.0,1,0,0.14,True,14.0,10,0.25
201,43,4.674418604651163,171,1.0357142857142858,2,0,0.43,False,,10,0.25
201,15,13.4,200,0.0,0,0,0.15,False,,10,0.25
28,19,1.4736842105263157,27,0.0,0,0,0.19,True,28.0,10,0.25
201,18,11.166666666666666,200,0.0,0,0,0.18,False,,10,0.25
201,45,4.466666666666667,179,1.1666666666666667,2,0,0.45,False,,10,0.25
201,26,7.730769230769231,180,1.1764705882352942,2,0,0.26,False,,10,0.25
92,30,3.066666666666667,81,1.25,3,0,0.3,True,92.0,10,0.25
13,13,1.0,11,1.0,1,0,0.13,True,13.0,10,0.25
201,60,3.35,145,1.4102564102564104,3,0,0.6,False,,10,0.25
201,41,4.902439024390244,160,1.2903225806451613,4,0,0.41,False,,10,0.25
201,27,7.444444444444445,194,1.2,2,0,0.27,False,,10,0.25
